ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
241611914,1,2652,361,6,12.0654587222514,55.6186317246883,2016-06-28 06:35:00,25,9361,6280635,6280634,6280635,6280630,6280600,6280600,238,660,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611940,1,1724,280,14,12.0841532297692,55.6210126089122,2016-06-30 03:04:00,33,14287,6300304,6300304,6300300,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611950,1,2653,361,7,12.0654111567174,55.6186329143865,2016-06-28 06:36:00,17,9361,6280636,6280636,6280635,6280630,6280600,6280600,237,660,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611954,0,2654,361,8,12.0653895774716,55.6186289150196,2016-06-28 06:37:05,10,9361,6280637,6280636,6280635,6280630,6280600,6280600,238,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611965,1,1725,280,15,12.0841373739087,55.6210130079076,2016-06-30 03:05:00,35,14287,6300305,6300304,6300305,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611987,1,1726,280,16,12.0841208129623,55.6210044344224,2016-06-30 03:06:00,37,14287,6300306,6300306,6300305,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611988,1,2655,362,1,12.0653946007924,55.6186243383087,2016-06-28 06:38:00,21,9361,6280638,6280638,6280635,6280630,6280600,6280600,237,660,32,,6,0,257,0,0,0.023346303501,0,1,0,0,0
241612011,1,1727,280,17,12.0841208129623,55.6210044344224,2016-06-30 03:07:00,38,14287,6300307,6300306,6300305,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241612023,1,2656,362,2,12.0654263111424,55.618623545183,2016-06-28 06:39:00,34,9361,6280639,6280638,6280635,6280630,6280600,6280600,237,660,32,,6,0,257,0,0,0.023346303501,0,1,0,0,0
241612032,1,1728,280,18,12.084104252023,55.6209958609349,2016-06-30 03:08:00,40,14287,6300308,6300308,6300305,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241612052,1,1729,280,19,12.0840883961686,55.6209962599239,2016-06-30 03:09:00,42,14287,6300309,6300308,6300305,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241612072,1,2657,362,3,12.0654428670738,55.6186321212564,2016-06-28 06:40:00,47,9361,6280640,6280640,6280640,6280630,6280600,6280600,238,660,32,,6,0,257,0,0,0.023346303501,0,1,0,0,0
241612076,0,2658,362,4,12.0654849635354,55.6186349499902,2016-06-28 06:41:22,65,9361,6280641,6280640,6280640,6280630,6280600,6280600,238,661,32,,6,0,257,0,0,0.023346303501,0,1,0,0,0
241612078,1,1730,280,20,12.084087691091,55.620987287445,2016-06-30 03:10:00,44,14287,6300310,6300310,6300310,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241612103,1,1731,280,21,12.0840718352398,55.6209876864318,2016-06-30 03:11:00,45,14287,6300311,6300310,6300310,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241612125,1,1732,280,22,12.0840552743182,55.6209791129374,2016-06-30 03:12:00,47,14287,6300312,6300312,6300310,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
