user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
144,125,621317,0,43,0,25702,125,595572,0,0,6.92078E-05,0.041366967,0.958563825,0,3
145,28478,376839,8,161796,45,47872,23673,166275,4752,896,0.429350465,0.127035684,0.441236178,0.002377673,3
146,13827,128430,13,54720,111,21187,11539,51961,2164,562,0.426068676,0.164969244,0.404586156,0.004375925,1
147,5949,54118,0,15116,14,13390,3596,25164,2339,448,0.27931557,0.247422299,0.464983924,0.008278207,3
148,66762,369064,29,198608,50,102396,24966,60511,41717,7549,0.538139726,0.277447814,0.163958013,0.020454447,1
149,8138,28225,0,11605,31,2299,6011,13869,2096,452,0.411160319,0.081452613,0.491372896,0.016014172,3
150,9508,98396,20,43540,141,11348,8311,43213,1036,295,0.442497663,0.115329891,0.439174357,0.002998089,1
151,6440,621349,0,23761,85,7622,4832,589728,1523,238,0.038240989,0.012266858,0.949109116,0.000383038,3
152,38423,718923,4,161896,40,36985,31368,518969,7011,1073,0.225192406,0.051445009,0.721870075,0.00149251,3
153,63273,647121,41,333225,593,71060,58610,242238,4029,598,0.51493461,0.109809448,0.374331848,0.000924093,1
154,5444,620529,9,28901,20,311,5415,591317,0,0,0.046574777,0.000501185,0.952924037,0,3
155,43817,694508,40,135580,346,86768,35348,470281,8083,1879,0.195217334,0.124934486,0.677142668,0.002705512,3
156,6235,523786,5,27332,54,18588,6176,477866,0,0,0.052181616,0.035487776,0.912330608,0,3
157,72993,673875,46,114102,220,49215,58186,506564,14541,3994,0.169322204,0.073032832,0.751718049,0.005926915,3
158,29531,364585,0,33174,78,25954,27050,305175,2403,282,0.090991127,0.071187789,0.837047602,0.000773482,3
159,9283,628034,0,2223,1,2445,6986,622919,2296,447,0.003539617,0.003893101,0.991855536,0.000711745,3
160,12386,90443,2,48237,45,14415,10110,27431,2229,360,0.533341442,0.159382152,0.303295999,0.003980408,1
161,11895,79777,15,22170,168,15252,7620,41852,4092,503,0.277899645,0.191182922,0.524612357,0.006305075,3
162,14164,199652,0,80684,0,20467,12876,98300,1288,201,0.404123174,0.102513373,0.492356701,0.001006752,3
163,50663,612038,0,139982,81,96073,34803,373960,15779,2023,0.228714557,0.156972279,0.611007813,0.00330535,3
164,62932,647680,119,270620,836,75809,61090,301109,887,142,0.417829792,0.117046999,0.464903965,0.000219244,3
165,6537,20537,0,11924,39,2432,3422,5949,3076,232,0.580610605,0.118420412,0.289672299,0.011296684,1
166,9700,552883,10,67828,44,91792,9646,393263,0,0,0.122680567,0.166024276,0.711295156,0,3
167,76934,523676,15,171701,55,60364,47676,286609,29188,5002,0.327876397,0.115269747,0.547302149,0.009551708,3
168,37713,377500,4,93429,44,39714,28951,243471,8714,886,0.24749404,0.105202649,0.644956291,0.00234702,3
169,53920,485322,18,137174,12,50619,34897,293335,18993,4194,0.282645336,0.104299826,0.604413153,0.008641685,3
170,22230,220627,11,73315,39,25332,19936,121751,2244,229,0.332302937,0.114818223,0.55184089,0.001037951,3
171,2473,178655,0,0,0,72,2473,178583,0,0,0,0.000403011,0.999596989,0,3
172,76345,674144,33,82479,100,27697,46763,559702,29449,4266,0.122346264,0.041084694,0.830241017,0.006328025,3
173,88554,770334,4,104037,22,71676,61625,590818,26903,3803,0.135054405,0.093045354,0.766963421,0.00493682,3
174,41565,668114,134,201810,1141,106694,40158,359580,132,30,0.302059229,0.159694304,0.538201564,4.49025E-05,3
175,21454,397280,8,85173,0,20581,21446,291525,0,1,0.214390354,0.051804772,0.733802356,2.51712E-06,3
176,20509,297102,11,107776,67,36872,17833,151951,2598,503,0.362757571,0.124105526,0.511443881,0.001693021,3
177,2781,109227,0,43851,0,23676,2781,41700,0,0,0.40146667,0.216759592,0.381773737,0,1
178,18076,143923,21,73354,80,21537,15770,48769,2205,263,0.509675312,0.149642517,0.338854804,0.001827366,1
179,10880,66697,0,24416,28,5292,5978,35782,4874,1207,0.366073437,0.079343899,0.536485899,0.018096766,3
180,31451,562007,16,259712,296,47103,30774,255142,365,50,0.462115241,0.083812123,0.453983669,8.89669E-05,1
181,48904,603206,1,153027,68,56298,32405,391159,16430,2722,0.253689453,0.0933313,0.648466693,0.004512555,3
182,36874,526467,11,65926,40,11735,33979,448413,2844,393,0.125223423,0.022290096,0.851739995,0.000746486,3
183,45758,630046,50,179466,315,78722,45393,371854,0,4,0.284845868,0.124946432,0.59020135,6.34874E-06,3
184,14075,626249,2,6551,54,1554,8947,617379,5072,765,0.010460695,0.002481441,0.985836305,0.001221559,3
185,20832,259702,11,144908,102,57800,14535,55564,6184,1430,0.55797799,0.222562783,0.213952915,0.005506311,1
186,3002,14124,0,2501,19,1840,2983,9783,0,0,0.177074483,0.13027471,0.692650807,0,3
187,1411,5251,0,146,0,1302,1411,3803,0,0,0.027804228,0.247952771,0.724243001,0,3
